id,centroid_x,centroid_y,area,time
12,485,505,6572,2025-12-03_17:28:33
11,705,496,7313,2025-12-03_17:28:33
12,477,505,7085,2025-12-03_17:28:34
11,698,496,7272,2025-12-03_17:28:34
11,696,483,6936,2025-12-03_17:28:34
12,474,490,7215,2025-12-03_17:28:34
11,654,486,7070,2025-12-03_17:28:34
12,435,493,6758,2025-12-03_17:28:34
11,631,469,7171,2025-12-03_17:28:34
12,410,481,7370,2025-12-03_17:28:34
11,626,469,6800,2025-12-03_17:28:34
12,405,479,6976,2025-12-03_17:28:34
12,393,467,6552,2025-12-03_17:28:34
11,617,454,7140,2025-12-03_17:28:34
12,375,470,6804,2025-12-03_17:28:34
11,600,461,7029,2025-12-03_17:28:34
11,605,454,7384,2025-12-03_17:28:35
12,392,464,6784,2025-12-03_17:28:35
11,620,453,7242,2025-12-03_17:28:35
12,398,466,6758,2025-12-03_17:28:35
12,403,484,7571,2025-12-03_17:28:35
11,627,472,6969,2025-12-03_17:28:35
12,441,491,7788,2025-12-03_17:28:35
11,663,484,7630,2025-12-03_17:28:35
12,452,489,6510,2025-12-03_17:28:36
11,679,482,6700,2025-12-03_17:28:36
11,691,486,6700,2025-12-03_17:28:36
12,471,491,6930,2025-12-03_17:28:36
12,471,499,7006,2025-12-03_17:28:36
12,470,490,6912,2025-12-03_17:28:36
12,483,480,7524,2025-12-03_17:28:36
11,704,470,7038,2025-12-03_17:28:36
12,488,469,6678,2025-12-03_17:28:36
11,710,462,7350,2025-12-03_17:28:36
12,486,487,6678,2025-12-03_17:28:36
11,709,480,7632,2025-12-03_17:28:36
12,483,472,6976,2025-12-03_17:28:37
11,705,464,7455,2025-12-03_17:28:37
12,487,483,6678,2025-12-03_17:28:37
11,710,473,6969,2025-12-03_17:28:37
12,482,486,7215,2025-12-03_17:28:38
12,461,472,6615,2025-12-03_17:28:38
11,686,463,7344,2025-12-03_17:28:38
12,454,469,6572,2025-12-03_17:28:38
11,678,457,7488,2025-12-03_17:28:38
12,450,455,6804,2025-12-03_17:28:38
11,676,449,6936,2025-12-03_17:28:38
12,429,462,6867,2025-12-03_17:28:38
11,656,453,6700,2025-12-03_17:28:38
12,427,456,6572,2025-12-03_17:28:39
11,661,447,7504,2025-12-03_17:28:39
11,661,452,6678,2025-12-03_17:28:39
12,425,482,6696,2025-12-03_17:28:39
11,653,471,7072,2025-12-03_17:28:39
12,434,488,6572,2025-12-03_17:28:39
11,663,478,6901,2025-12-03_17:28:39
12,373,466,6976,2025-12-03_17:28:39
11,602,453,7455,2025-12-03_17:28:39
12,357,463,6955,2025-12-03_17:28:40
11,582,453,7000,2025-12-03_17:28:40
11,586,465,7560,2025-12-03_17:28:40
12,362,474,6572,2025-12-03_17:28:40
12,353,482,6678,2025-12-03_17:28:40
11,574,472,7140,2025-12-03_17:28:40
11,591,478,7140,2025-12-03_17:28:40
12,369,486,6741,2025-12-03_17:28:40
11,592,472,7140,2025-12-03_17:28:41
12,372,482,6804,2025-12-03_17:28:41
11,622,474,7245,2025-12-03_17:28:41
12,399,485,6848,2025-12-03_17:28:41
12,421,492,6634,2025-12-03_17:28:41
11,645,485,6767,2025-12-03_17:28:41
12,418,501,6848,2025-12-03_17:28:41
11,641,493,7416,2025-12-03_17:28:41
11,644,489,7210,2025-12-03_17:28:41
12,420,489,7085,2025-12-03_17:28:41
11,647,482,6901,2025-12-03_17:28:41
11,663,472,6969,2025-12-03_17:28:41
12,440,483,7480,2025-12-03_17:28:42
11,661,467,7416,2025-12-03_17:28:42
12,439,474,6588,2025-12-03_17:28:42
12,489,449,6771,2025-12-03_17:28:42
13,726,439,7875,2025-12-03_17:28:42
12,525,456,6480,2025-12-03_17:28:42
13,761,452,7986,2025-12-03_17:28:42
14,774,452,11840,2025-12-03_17:28:42
12,518,476,6667,2025-12-03_17:28:42
13,747,469,8395,2025-12-03_17:28:42
13,729,494,7140,2025-12-03_17:28:42
12,505,502,6930,2025-12-03_17:28:42
12,510,477,7056,2025-12-03_17:28:43
13,733,469,6969,2025-12-03_17:28:43
12,525,483,7150,2025-12-03_17:28:43
13,749,473,7452,2025-12-03_17:28:43
13,756,490,7276,2025-12-03_17:28:43
12,532,498,6993,2025-12-03_17:28:43
12,579,497,7935,2025-12-03_17:28:43
13,801,489,7700,2025-12-03_17:28:43
12,580,511,7839,2025-12-03_17:28:43
13,799,503,7455,2025-12-03_17:28:43
12,578,502,7571,2025-12-03_17:28:44
13,799,495,7344,2025-12-03_17:28:44
12,582,492,7920,2025-12-03_17:28:44
13,797,487,7739,2025-12-03_17:28:44
12,595,492,6572,2025-12-03_17:28:44
13,814,487,7102,2025-12-03_17:28:44
13,821,479,7326,2025-12-03_17:28:44
12,607,486,8763,2025-12-03_17:28:44
13,826,482,7772,2025-12-03_17:28:44
12,623,486,6572,2025-12-03_17:28:44
13,842,479,7245,2025-12-03_17:28:44
12,654,490,7670,2025-12-03_17:28:45
13,875,485,7314,2025-12-03_17:28:45
12,597,479,7458,2025-12-03_17:28:45
13,819,470,8424,2025-12-03_17:28:45
13,831,486,9144,2025-12-03_17:28:45
12,613,491,7874,2025-12-03_17:28:45
12,595,460,6758,2025-12-03_17:28:45
13,814,454,7020,2025-12-03_17:28:45
13,776,481,21720,2025-12-03_17:28:45
12,591,483,8174,2025-12-03_17:28:46
13,815,492,7370,2025-12-03_17:28:46
12,594,506,6600,2025-12-03_17:28:46
12,594,516,7192,2025-12-03_17:28:46
12,584,512,7875,2025-12-03_17:28:47
13,797,502,6848,2025-12-03_17:28:47
12,589,510,6960,2025-12-03_17:28:47
